AudioTime[s]	MeasId	WavId	Sensor 1 Id	Sensor 1 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 3 Id	Sensor 3 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 4 Id	Sensor 4 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 5 Id	Sensor 5 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 6 Id	Sensor 6 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 7 Id	Sensor 7 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 8 Id	Sensor 8 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 9 Id	Sensor 9 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 10 Id	Sensor 10 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 11 Id	Sensor 11 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 12 Id	Sensor 12 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 13 Id	Sensor 13 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 14 Id	Sensor 14 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 15 Id	Sensor 15 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 16 Id	Sensor 16 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz
0.119200	17.000000	2628.000000	0.000000	55.000000	45.055988	69.030708	-169.984820	0.341375	-0.825007	-0.230622	0.386834	2.000000	119.000000								3.000000	119.000000								4.000000	119.000000								5.000000	119.000000								6.000000	55.000000								7.000000	119.000000								8.000000	55.000000	42.149891	65.986153	-195.744030	0.737449	0.672671	-0.060680	0.000000	9.000000	55.000000	-44.934124	-46.882587	-95.648239	0.404496	0.904859	0.132715	0.000000	10.000000	55.000000	-50.386646	-69.679352	-224.884930	0.949067	-0.144767	0.279848	0.000000	11.000000	55.000000								12.000000	119.000000								13.000000	55.000000	-85.717178	77.036034	-162.316020	0.682095	-0.100666	0.724301	-0.000000	14.000000	55.000000	-84.700150	69.215057	-208.975950	0.742427	-0.175144	0.646627	-0.000000	15.000000	55.000000	-88.805206	94.463585	-191.026050	0.700891	-0.118479	0.703359	0.000000
0.129200	18.000000	2848.000000	0.000000	55.000000	45.042728	69.025803	-170.033490	0.341233	-0.825053	-0.230485	0.386942	2.000000	119.000000								3.000000	119.000000								4.000000	119.000000								5.000000	119.000000								6.000000	55.000000								7.000000	119.000000								8.000000	55.000000	42.206062	66.014359	-195.805530	0.737456	0.672656	-0.060766	0.000000	9.000000	55.000000	-44.928436	-46.846584	-95.666962	0.404471	0.904889	0.132585	0.000000	10.000000	55.000000	-50.378712	-69.742317	-224.940160	0.949037	-0.145082	0.279784	0.000000	11.000000	55.000000								12.000000	119.000000								13.000000	55.000000	-85.747162	77.126282	-162.342800	0.681991	-0.100551	0.724416	0.000000	14.000000	55.000000	-84.648445	69.214279	-208.978550	0.742461	-0.175147	0.646587	-0.000000	15.000000	55.000000	-88.797531	94.381805	-191.067020	0.700883	-0.118828	0.703308	-0.000000
0.139200	19.000000	3069.000000	0.000000	55.000000	45.047039	69.020073	-170.095730	0.341232	-0.825074	-0.230282	0.387019	2.000000	119.000000								3.000000	119.000000								4.000000	119.000000								5.000000	119.000000								6.000000	55.000000								7.000000	119.000000								8.000000	55.000000	42.131187	66.006691	-195.839540	0.737548	0.672569	-0.060608	-0.000000	9.000000	55.000000	-44.932301	-46.812168	-95.683151	0.404461	0.904937	0.132293	-0.000000	10.000000	55.000000	-50.431183	-69.589134	-225.039400	0.949059	-0.144323	0.280105	-0.000000	11.000000	55.000000								12.000000	119.000000								13.000000	55.000000	-85.705330	77.129303	-162.340760	0.682033	-0.100475	0.724386	0.000000	14.000000	55.000000	-84.664528	69.231209	-209.068010	0.742438	-0.175195	0.646601	-0.000000	15.000000	55.000000	-88.735947	94.298424	-191.053220	0.700929	-0.118842	0.703261	-0.000000
0.149200	20.000000	3289.000000	0.000000	55.000000	45.066158	69.028831	-170.146090	0.341112	-0.825161	-0.230193	0.386992	2.000000	119.000000								3.000000	119.000000								4.000000	119.000000								5.000000	119.000000								6.000000	55.000000								7.000000	119.000000								8.000000	55.000000	42.154110	66.022705	-195.856580	0.737559	0.672556	-0.060619	-0.000000	9.000000	55.000000	-44.929989	-46.795200	-95.705841	0.404554	0.904910	0.132186	0.000000	10.000000	55.000000	-50.403488	-69.528656	-225.088810	0.949130	-0.144091	0.279982	0.000000	11.000000	55.000000								12.000000	119.000000								13.000000	55.000000	-85.679031	77.160713	-162.380520	0.682072	-0.100331	0.724370	0.000000	14.000000	55.000000	-84.685204	69.277405	-209.134570	0.742393	-0.175156	0.646663	-0.000000	15.000000	55.000000	-88.761383	94.396385	-191.061040	0.700826	-0.118749	0.703378	0.000000
0.159100	21.000000	3509.000000	0.000000	55.000000	45.059265	69.021095	-170.187470	0.341114	-0.825187	-0.229966	0.387071	2.000000	119.000000								3.000000	119.000000								4.000000	119.000000								5.000000	119.000000								6.000000	55.000000								7.000000	119.000000								8.000000	55.000000	42.151630	66.046135	-195.870000	0.737551	0.672561	-0.060659	0.000000	9.000000	55.000000	-44.928970	-46.761093	-95.717506	0.404558	0.904931	0.132034	-0.000000	10.000000	55.000000	-50.328979	-69.555412	-225.101360	0.949196	-0.144375	0.279611	0.000000	11.000000	55.000000								12.000000	119.000000								13.000000	55.000000	-85.662842	77.164749	-162.405750	0.682080	-0.100289	0.724368	0.000000	14.000000	55.000000	-84.681030	69.212799	-209.159810	0.742359	-0.175400	0.646636	-0.000000	15.000000	55.000000	-88.793877	94.421379	-191.139510	0.700766	-0.118789	0.703432	0.000000
0.169100	22.000000	3729.000000	0.000000	55.000000	45.050678	69.030823	-170.227890	0.341481	-0.825021	-0.229776	0.387213	2.000000	119.000000								3.000000	119.000000								4.000000	119.000000								5.000000	119.000000								6.000000	55.000000								7.000000	119.000000								8.000000	55.000000	42.151752	66.053635	-195.894260	0.737591	0.672516	-0.060678	0.000000	9.000000	55.000000	-44.931320	-46.722195	-95.732140	0.404502	0.904975	0.131902	0.000000	10.000000	55.000000	-50.333065	-69.569633	-225.140810	0.949151	-0.144568	0.279665	-0.000000	11.000000	55.000000								12.000000	119.000000								13.000000	55.000000	-85.652962	77.153954	-162.416500	0.682051	-0.100242	0.724402	-0.000000	14.000000	55.000000	-84.645309	69.220757	-209.093090	0.742371	-0.175218	0.646671	0.000000	15.000000	55.000000	-88.786041	94.330772	-191.211810	0.700799	-0.119145	0.703339	0.000000
0.179100	23.000000	3950.000000	0.000000	55.000000	45.075638	69.052284	-170.265980	0.341961	-0.824893	-0.229537	0.387204	2.000000	119.000000								3.000000	119.000000								4.000000	119.000000								5.000000	119.000000								6.000000	55.000000								7.000000	119.000000								8.000000	55.000000	42.179989	66.090027	-195.894710	0.737574	0.672529	-0.060734	0.000000	9.000000	55.000000	-44.940601	-46.701172	-95.755890	0.404546	0.904980	0.131735	0.000000	10.000000	55.000000	-50.351585	-69.487289	-225.160310	0.949156	-0.144246	0.279813	-0.000000	11.000000	55.000000								12.000000	119.000000								13.000000	55.000000	-85.628769	77.162575	-162.434600	0.682080	-0.100225	0.724377	-0.000000	14.000000	55.000000	-84.639511	69.170776	-209.094970	0.742348	-0.175351	0.646662	0.000000	15.000000	55.000000	-88.738449	94.387337	-191.155960	0.700816	-0.118889	0.703365	0.000000
0.189100	24.000000	4170.000000	0.000000	55.000000	45.116570	69.087646	-170.288500	0.342468	-0.824784	-0.229378	0.387084	2.000000	119.000000								3.000000	119.000000								4.000000	119.000000								5.000000	119.000000								6.000000	55.000000								7.000000	119.000000								8.000000	55.000000	42.185169	66.085098	-195.978740	0.737643	0.672449	-0.060791	-0.000000	9.000000	55.000000	-44.952900	-46.678799	-95.772186	0.404567	0.905004	0.131504	-0.000000	10.000000	55.000000	-50.323082	-69.390205	-225.194320	0.949214	-0.143911	0.279792	-0.000000	11.000000	55.000000								12.000000	119.000000								13.000000	55.000000	-85.621040	77.140358	-162.459960	0.682058	-0.100243	0.724395	-0.000000	14.000000	55.000000	-84.672760	69.252724	-209.084780	0.742232	-0.175238	0.646825	0.000000	15.000000	55.000000	-88.745399	94.383667	-191.185240	0.700762	-0.118953	0.703408	0.000000
0.199100	25.000000	4390.000000	0.000000	55.000000	45.130455	69.091896	-170.315160	0.342937	-0.824639	-0.229092	0.387144	2.000000	119.000000								3.000000	119.000000								4.000000	119.000000								5.000000	119.000000								6.000000	55.000000								7.000000	119.000000								8.000000	55.000000	42.195549	66.065216	-195.995850	0.737741	0.672336	-0.060844	0.000000	9.000000	55.000000	-44.955353	-46.655727	-95.786423	0.404600	0.905014	0.131329	-0.000000	10.000000	55.000000	-50.351822	-69.371254	-225.197920	0.949135	-0.143952	0.280037	-0.000000	11.000000	55.000000								12.000000	119.000000								13.000000	55.000000	-85.633156	77.190926	-162.465880	0.681975	-0.100069	0.724498	0.000000	14.000000	55.000000	-84.675461	69.227936	-209.094590	0.742213	-0.175271	0.646838	0.000000	15.000000	55.000000	-88.719681	94.402153	-191.207950	0.700789	-0.118911	0.703389	0.000000
0.209100	26.000000	4610.000000	0.000000	55.000000	45.154167	69.103699	-170.349780	0.343302	-0.824546	-0.228891	0.387140	2.000000	119.000000								3.000000	119.000000								4.000000	119.000000								5.000000	119.000000								6.000000	55.000000								7.000000	119.000000								8.000000	55.000000	42.188595	66.113647	-196.004410	0.737688	0.672396	-0.060824	0.000000	9.000000	55.000000	-44.954659	-46.626881	-95.806564	0.404611	0.905024	0.131231	-0.000000	10.000000	55.000000	-50.294147	-69.187462	-225.248000	0.949356	-0.142959	0.279795	0.000000	11.000000	55.000000								12.000000	119.000000								13.000000	55.000000	-85.607208	77.165405	-162.459440	0.681969	-0.100080	0.724501	-0.000000	14.000000	55.000000	-84.666122	69.251740	-209.131360	0.742240	-0.175220	0.646821	0.000000	15.000000	55.000000	-88.672104	94.373070	-191.223100	0.700827	-0.118906	0.703352	0.000000
0.219100	27.000000	4831.000000	0.000000	55.000000	45.171566	69.130608	-170.362720	0.343268	-0.824588	-0.228911	0.387067	2.000000	119.000000								3.000000	119.000000								4.000000	119.000000								5.000000	119.000000								6.000000	55.000000								7.000000	119.000000								8.000000	55.000000	42.140312	66.141220	-196.041520	0.737699	0.672394	-0.060711	0.000000	9.000000	55.000000	-44.949989	-46.617878	-95.833374	0.404706	0.904972	0.131297	0.000000	10.000000	55.000000	-50.289856	-69.137756	-225.263730	0.949390	-0.142797	0.279764	0.000000	11.000000	55.000000								12.000000	119.000000								13.000000	55.000000	-85.543907	77.133125	-162.471160	0.682057	-0.100063	0.724421	0.000000	14.000000	55.000000	-84.658348	69.322113	-209.185060	0.742249	-0.175160	0.646827	-0.000000	15.000000	55.000000	-88.657738	94.330544	-191.267210	0.700811	-0.118874	0.703373	-0.000000
0.229100	28.000000	5051.000000	0.000000	55.000000	45.193733	69.186897	-170.382600	0.343109	-0.824658	-0.229143	0.386922	2.000000	119.000000								3.000000	119.000000								4.000000	119.000000								5.000000	119.000000								6.000000	55.000000								7.000000	119.000000								8.000000	55.000000	42.132874	66.136856	-196.018630	0.737744	0.672344	-0.060716	0.000000	9.000000	55.000000	-44.935974	-46.600559	-95.860725	0.404768	0.904937	0.131343	0.000000	10.000000	55.000000	-50.350574	-69.146988	-225.252180	0.949250	-0.143094	0.280086	0.000000	11.000000	55.000000								12.000000	119.000000								13.000000	55.000000	-85.533661	77.116890	-162.478180	0.682018	-0.100099	0.724453	0.000000	14.000000	55.000000	-84.671227	69.330673	-209.255810	0.742246	-0.175248	0.646807	-0.000000	15.000000	55.000000	-88.627007	94.399155	-191.265140	0.700837	-0.118606	0.703391	0.000000
0.239000	29.000000	5271.000000	0.000000	55.000000	45.202625	69.225014	-170.409620	0.342986	-0.824687	-0.229242	0.386911	2.000000	119.000000								3.000000	119.000000								4.000000	119.000000								5.000000	119.000000								6.000000	55.000000								7.000000	119.000000								8.000000	55.000000	42.192120	66.179123	-196.044650	0.737695	0.672389	-0.060821	0.000000	9.000000	55.000000	-44.923637	-46.578480	-95.885071	0.404803	0.904916	0.131381	-0.000000	10.000000	55.000000	-50.374882	-69.232353	-225.221220	0.949136	-0.143634	0.280198	0.000000	11.000000	55.000000								12.000000	119.000000								13.000000	55.000000	-85.549797	77.133369	-162.512190	0.681919	-0.100187	0.724533	0.000000	14.000000	55.000000	-84.622429	69.274445	-209.289540	0.742299	-0.175376	0.646711	0.000000	15.000000	55.000000	-88.612694	94.336449	-191.272520	0.700801	-0.118835	0.703390	0.000000
0.249000	30.000000	5491.000000	0.000000	55.000000	45.191990	69.237381	-170.461210	0.343075	-0.824605	-0.229141	0.387066	2.000000	119.000000								3.000000	119.000000								4.000000	119.000000								5.000000	119.000000								6.000000	55.000000								7.000000	119.000000								8.000000	55.000000	42.227333	66.223763	-196.087280	0.737660	0.672418	-0.060925	0.000000	9.000000	55.000000	-44.910709	-46.542866	-95.890808	0.404766	0.904928	0.131415	0.000000	10.000000	55.000000	-50.392670	-69.326271	-225.178650	0.949012	-0.144321	0.280263	0.000000	11.000000	55.000000								12.000000	119.000000								13.000000	55.000000	-85.575722	77.123451	-162.559940	0.681787	-0.100322	0.724639	0.000000	14.000000	55.000000	-84.562943	69.284019	-209.347460	0.742372	-0.175283	0.646652	0.000000	15.000000	55.000000	-88.599419	94.285034	-191.267680	0.700747	-0.118959	0.703421	0.000000
0.259000	31.000000	5712.000000	0.000000	55.000000	45.210434	69.286705	-170.495190	0.342987	-0.824598	-0.229324	0.387051	2.000000	119.000000								3.000000	119.000000								4.000000	119.000000								5.000000	119.000000								6.000000	55.000000								7.000000	119.000000								8.000000	55.000000	42.222157	66.241875	-196.164400	0.737706	0.672373	-0.060863	-0.000000	9.000000	55.000000	-44.890011	-46.521023	-95.908409	0.404810	0.904897	0.131496	0.000000	10.000000	55.000000	-50.407444	-69.424179	-225.129970	0.948858	-0.145075	0.280397	-0.000000	11.000000	55.000000								12.000000	119.000000								13.000000	55.000000	-85.590805	77.143646	-162.587510	0.681690	-0.100418	0.724717	0.000000	14.000000	55.000000	-84.546135	69.327766	-209.377330	0.742363	-0.175238	0.646675	0.000000	15.000000	55.000000	-88.571350	94.261276	-191.270220	0.700729	-0.119067	0.703421	0.000000
0.269000	32.000000	5932.000000	0.000000	55.000000	45.211704	69.306015	-170.545940	0.342818	-0.824637	-0.229314	0.387123	2.000000	119.000000								3.000000	119.000000								4.000000	119.000000								5.000000	119.000000								6.000000	55.000000								7.000000	119.000000								8.000000	55.000000	42.191578	66.235626	-196.192900	0.737808	0.672271	-0.060751	0.000000	9.000000	55.000000	-44.875992	-46.507057	-95.928719	0.404892	0.904859	0.131502	-0.000000	10.000000	55.000000	-50.403084	-69.527885	-225.120100	0.948772	-0.145691	0.280368	-0.000000	11.000000	55.000000								12.000000	119.000000								13.000000	55.000000	-85.587318	77.182678	-162.601270	0.681617	-0.100482	0.724777	0.000000	14.000000	55.000000	-84.557953	69.304848	-209.475690	0.742313	-0.175440	0.646678	-0.000000	15.000000	55.000000	-88.543983	94.253792	-191.299480	0.700719	-0.119043	0.703435	0.000000
0.279000	33.000000	6153.000000	0.000000	55.000000	45.207684	69.315094	-170.603700	0.342869	-0.824565	-0.229252	0.387269	2.000000	119.000000								3.000000	119.000000								4.000000	119.000000								5.000000	119.000000								6.000000	55.000000								7.000000	119.000000								8.000000	55.000000	42.141682	66.189148	-196.250750	0.738026	0.672046	-0.060594	0.000000	9.000000	55.000000	-44.850582	-46.478035	-95.942917	0.404887	0.904849	0.131587	0.000000	10.000000	55.000000	-50.421978	-69.611351	-225.135800	0.948663	-0.146238	0.280450	0.000000	11.000000	55.000000								12.000000	119.000000								13.000000	55.000000	-85.603401	77.250740	-162.652920	0.681522	-0.100391	0.724879	-0.000000	14.000000	55.000000	-84.552734	69.265770	-209.441280	0.742219	-0.175616	0.646738	0.000000	15.000000	55.000000	-88.555908	94.219017	-191.449690	0.700725	-0.119230	0.703398	0.000000
0.289000	34.000000	6373.000000	0.000000	55.000000	45.200745	69.306252	-170.649150	0.342438	-0.824693	-0.229246	0.387381	2.000000	119.000000								3.000000	119.000000								4.000000	119.000000								5.000000	119.000000								6.000000	55.000000								7.000000	119.000000								8.000000	55.000000	42.117596	66.156853	-196.318280	0.738225	0.671834	-0.060520	0.000000	9.000000	55.000000	-44.827358	-46.453899	-95.956833	0.404912	0.904840	0.131567	0.000000	10.000000	55.000000	-50.364773	-69.698143	-225.134670	0.948673	-0.146715	0.280168	-0.000000	11.000000	55.000000								12.000000	119.000000								13.000000	55.000000	-85.604294	77.291641	-162.683030	0.681446	-0.100332	0.724958	0.000000	14.000000	55.000000	-84.523125	69.066368	-209.448290	0.742147	-0.176096	0.646691	0.000000	15.000000	55.000000	-88.552811	94.245140	-191.534910	0.700744	-0.119335	0.703362	0.000000
